"mileage","engineRPM","ignition","malfunction","speed","VIN","engineCoolantTemperature","fuelLevel","altitude","heading","nbSat","latitude","longitude","compassX","accelZ","accelY","accelX","compassY","compassZ","date"
5344,2050,true,false,29,'1ZVBP8CF0D5267616',88,58.43137254902,-57.52,1.7521542609224,5,37.4838643,-122.2030156,-0.56685424948039,8.2388671875,-3.23806640625,-3.23806640625,-0.56685424948039,-0.82249440120684,"1366482209895.4"
5344,2407,true,false,38,'1ZVBP8CF0D5267616',88,58.43137254902,-57.52,1.7521542609224,5,37.4838643,-122.2030156,-0.56685424948039,8.2388671875,-3.23806640625,-3.23806640625,-0.56685424948039,-0.82249440120684,"1366482210012.4"
5344,2407,true,false,38,'1ZVBP8CF0D5267616',88,58.43137254902,-57.52,1.7521542609224,5,37.4838643,-122.2030156,-0.5590797663354,10.86380859375,-2.60578125,-2.60578125,-0.5590797663354,-0.82674729925273,"1366482210130.4"
5344,2407,true,false,38,'1ZVBP8CF0D5267616',88,58.43137254902,-57.52,1.7521542609224,5,37.4838643,-122.2030156,-0.5590797663354,10.86380859375,-2.60578125,-2.60578125,-0.5590797663354,-0.82674729925273,"1366482210249.3"
5344,2407,true,false,38,'1ZVBP8CF0D5267616',88,58.43137254902,-56.08,2.0310493262194,5,37.4838488,-122.2029762,-0.55535212859501,9.800419921875,-2.29921875,-2.29921875,-0.55535212859501,-0.82515883074644,"1366482210371"
5344,2407,true,false,38,'1ZVBP8CF0D5267616',88,58.43137254902,-56.08,2.0310493262194,5,37.4838488,-122.2029762,-0.55535212859501,9.800419921875,-2.29921875,-2.29921875,-0.55535212859501,-0.82515883074644,"1366482210491.2"
5344,2407,true,false,38,'1ZVBP8CF0D5267616',88,58.43137254902,-56.08,2.0310493262194,5,37.4838488,-122.2029762,-0.55535212859501,9.800419921875,-2.29921875,-2.29921875,-0.55535212859501,-0.82515883074644,"1366482210608.2"
5344,2407,true,false,38,'1ZVBP8CF0D5267616',88,58.43137254902,-56.08,2.0310493262194,5,37.4838488,-122.2029762,-0.57229724826375,9.589658203125,-2.040556640625,-2.040556640625,-0.57229724826375,-0.81662415040712,"1366482210727.6"
5344,2407,true,false,38,'1ZVBP8CF0D5267616',88,58.43137254902,-56.08,2.0310493262194,5,37.4838488,-122.2029762,-0.57229724826375,9.589658203125,-2.040556640625,-2.040556640625,-0.57229724826375,-0.81662415040712,"1366482210849"
5344,1821,true,false,44,'1ZVBP8CF0D5267616',88,58.43137254902,-56.08,2.0310493262194,5,37.4838488,-122.2029762,-0.57229724826375,9.589658203125,-2.040556640625,-2.040556640625,-0.57229724826375,-0.81662415040712,"1366482210983.6"
5344,1821,true,false,44,'1ZVBP8CF0D5267616',88,58.43137254902,-56.08,2.0310493262194,5,37.4838488,-122.2029762,-0.56204464051472,9.02443359375,-2.711162109375,-2.711162109375,-0.56204464051472,-0.82260939722844,"1366482211132.6"
5344,1821,true,false,44,'1ZVBP8CF0D5267616',88,58.43137254902,-56.08,2.0310493262194,5,37.4838488,-122.2029762,-0.56204464051472,9.02443359375,-2.711162109375,-2.711162109375,-0.56204464051472,-0.82260939722844,"1366482211265.8"
5344,1821,true,false,44,'1ZVBP8CF0D5267616',88,58.43137254902,-56.08,2.0310493262194,5,37.4838488,-122.2029762,-0.55636268841185,9.56091796875,-1.772314453125,-1.772314453125,-0.55636268841185,-0.82802415736295,"1366482211399.2"
5344,1821,true,false,44,'1ZVBP8CF0D5267616',88,58.43137254902,-56.08,2.0310493262194,5,37.4838488,-122.2029762,-0.55636268841185,9.56091796875,-1.772314453125,-1.772314453125,-0.55636268841185,-0.82802415736295,"1366482211517.5"
5344,1821,true,false,44,'1ZVBP8CF0D5267616',88,58.43137254902,-56.08,2.0310493262194,5,37.4838488,-122.2029762,-0.54421046723512,8.497529296875,-2.24173828125,-2.24173828125,-0.54421046723512,-0.8338708772151,"1366482211638.8"
5344,1821,true,false,44,'1ZVBP8CF0D5267616',88,58.43137254902,-56.08,2.0310493262194,5,37.4838488,-122.2029762,-0.54421046723512,8.497529296875,-2.24173828125,-2.24173828125,-0.54421046723512,-0.8338708772151,"1366482211758.2"
5344,1821,true,false,44,'1ZVBP8CF0D5267616',88,58.43137254902,-54.53,2.1380779437899,5,37.4838307,-122.2029404,-0.54445427288294,9.7716796875,-3.688330078125,-3.688330078125,-0.54445427288294,-0.83180513912672,"1366482211883.2"
5344,1705,true,false,48,'1ZVBP8CF0D5267616',88,58.43137254902,-54.53,2.1380779437899,5,37.4838307,-122.2029404,-0.54445427288294,9.7716796875,-3.688330078125,-3.688330078125,-0.54445427288294,-0.83180513912672,"1366482212005.7"
5344,1705,true,false,48,'1ZVBP8CF0D5267616',88,58.43137254902,-54.53,2.1380779437899,5,37.4838307,-122.2029404,-0.54445427288294,9.7716796875,-3.688330078125,-3.688330078125,-0.54445427288294,-0.83180513912672,"1366482212125.9"
5344,1705,true,false,48,'1ZVBP8CF0D5267616',88,58.43137254902,-54.53,2.1380779437899,5,37.4838307,-122.2029404,-0.56596233503319,9.513017578125,-2.05013671875,-2.05013671875,-0.56596233503319,-0.81823236809061,"1366482212245.2"
5344,1705,true,false,48,'1ZVBP8CF0D5267616',88,58.43137254902,-54.44,2.4212428727571,5,37.4838241,-122.2029331,-0.56596233503319,9.513017578125,-2.05013671875,-2.05013671875,-0.56596233503319,-0.81823236809061,"1366482212368.6"
5344,1705,true,false,48,'1ZVBP8CF0D5267616',88,58.43137254902,-54.44,2.4212428727571,5,37.4838241,-122.2029331,-0.57447925246438,6.581513671875,-2.385439453125,-2.385439453125,-0.57447925246438,-0.81294233839299,"1366482212499.5"
5344,1705,true,false,48,'1ZVBP8CF0D5267616',88,58.43137254902,-54.44,2.4212428727571,5,37.4838241,-122.2029331,-0.57447925246438,6.581513671875,-2.385439453125,-2.385439453125,-0.57447925246438,-0.81294233839299,"1366482212623.2"
5344,1705,true,false,48,'1ZVBP8CF0D5267616',88,58.43137254902,-54.44,2.4212428727571,5,37.4838241,-122.2029331,-0.57447925246438,6.581513671875,-2.385439453125,-2.385439453125,-0.57447925246438,-0.81294233839299,"1366482212743.9"
5344,1705,true,false,48,'1ZVBP8CF0D5267616',88,58.43137254902,-54.44,2.4212428727571,5,37.4838241,-122.2029331,-0.57235578996028,7.45330078125,-2.988984375,-2.988984375,-0.57235578996028,-0.81517339782221,"1366482212896.5"
5344,1417,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.44,2.4212428727571,5,37.4838241,-122.2029331,-0.57235578996028,7.45330078125,-2.988984375,-2.988984375,-0.57235578996028,-0.81517339782221,"1366482213026"
5344,1417,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.44,2.4212428727571,5,37.4838241,-122.2029331,-0.57547589757869,8.18138671875,-2.069296875,-2.069296875,-0.57547589757869,-0.8134546522165,"1366482213152.3"
5344,1417,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.44,2.4212428727571,5,37.4838241,-122.2029331,-0.57547589757869,8.18138671875,-2.069296875,-2.069296875,-0.57547589757869,-0.8134546522165,"1366482213272.5"
5344,1417,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.36,2.4212428302115,5,37.4838175,-122.2029258,-0.54982321142128,7.309599609375,-3.04646484375,-3.04646484375,-0.54982321142128,-0.83004199098734,"1366482213398.2"
5344,1417,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.36,2.4212428302115,5,37.4838175,-122.2029258,-0.54982321142128,7.309599609375,-3.04646484375,-3.04646484375,-0.54982321142128,-0.83004199098734,"1366482213516.2"
5344,1417,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.36,2.4212428302115,5,37.4838175,-122.2029258,-0.54982321142128,7.309599609375,-3.04646484375,-3.04646484375,-0.54982321142128,-0.83004199098734,"1366482213633.8"
5344,1417,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.36,2.4212428302115,5,37.4838175,-122.2029258,-0.56926954879643,7.098837890625,-2.289638671875,-2.289638671875,-0.56926954879643,-0.81573490900332,"1366482213755.5"
5344,1417,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.36,2.4212428302115,5,37.4838175,-122.2029258,-0.56926954879643,7.098837890625,-2.289638671875,-2.289638671875,-0.56926954879643,-0.81573490900332,"1366482213876.1"
5344,1070,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.36,2.4212428302115,5,37.4838175,-122.2029258,-0.56424493345955,10.346484375,-2.730322265625,-2.730322265625,-0.56424493345955,-0.82249549915834,"1366482214005.5"
5344,1070,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.36,2.4212428302115,5,37.4838175,-122.2029258,-0.56424493345955,10.346484375,-2.730322265625,-2.730322265625,-0.56424493345955,-0.82249549915834,"1366482214129.8"
5344,1070,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.36,2.4212428302115,5,37.4838175,-122.2029258,-0.56424493345955,10.346484375,-2.730322265625,-2.730322265625,-0.56424493345955,-0.82249549915834,"1366482214248.4"
5344,1070,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.24,2.4134983624411,5,37.4838094,-122.2029167,-0.56325474965972,10.202783203125,-3.458408203125,-3.458408203125,-0.56325474965972,-0.81947213578313,"1366482214390.3"
5344,1070,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.24,2.4134983624411,5,37.4838094,-122.2029167,-0.56325474965972,10.202783203125,-3.458408203125,-3.458408203125,-0.56325474965972,-0.81947213578313,"1366482214508"
5344,1070,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.24,2.4134983624411,5,37.4838094,-122.2029167,-0.54326216034275,6.22705078125,-6.7826953125,-6.7826953125,-0.54326216034275,-0.8325603026391,"1366482214638.3"
5344,1070,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.24,2.4134983624411,5,37.4838094,-122.2029167,-0.54326216034275,6.22705078125,-6.7826953125,-6.7826953125,-0.54326216034275,-0.8325603026391,"1366482214758"
5344,1070,true,false,50,'1ZVBP8CF0D5267616',88,58.43137254902,-54.24,2.4134983624411,5,37.4838094,-122.2029167,-0.52931571852449,7.673642578125,-3.04646484375,-3.04646484375,-0.52931571852449,-0.84258420499817,"1366482214896.8"
5344,1046,true,false,49,'1ZVBP8CF0D5267616',88,58.43137254902,-54.24,2.4134983624411,5,37.4838094,-122.2029167,-0.52931571852449,7.673642578125,-3.04646484375,-3.04646484375,-0.52931571852449,-0.84258420499817,"1366482215041.9"
5344,1046,true,false,49,'1ZVBP8CF0D5267616',88,58.43137254902,-54.24,2.4134983624411,5,37.4838094,-122.2029167,-0.52931571852449,7.673642578125,-3.04646484375,-3.04646484375,-0.52931571852449,-0.84258420499817,"1366482215190.1"
5344,1046,true,false,49,'1ZVBP8CF0D5267616',88,58.43137254902,-54.12,2.4183636659997,5,37.4838014,-122.2029078,-0.54823621755674,8.957373046875,-3.630849609375,-3.630849609375,-0.54823621755674,-0.82999905446837,"1366482215339.5"
5344,1046,true,false,49,'1ZVBP8CF0D5267616',88,58.43137254902,-54.12,2.4183636659997,5,37.4838014,-122.2029078,-0.54823621755674,8.957373046875,-3.630849609375,-3.630849609375,-0.54823621755674,-0.82999905446837,"1366482215458.7"
5344,1046,true,false,49,'1ZVBP8CF0D5267616',88,58.43137254902,-54.12,2.4183636659997,5,37.4838014,-122.2029078,-0.544966767734,8.06642578125,-1.963916015625,-1.963916015625,-0.544966767734,-0.83063483146553,"1366482215599.9"
5344,1046,true,false,49,'1ZVBP8CF0D5267616',88,58.43137254902,-54.12,2.4183636659997,5,37.4838014,-122.2029078,-0.544966767734,8.06642578125,-1.963916015625,-1.963916015625,-0.544966767734,-0.83063483146553,"1366482215724.3"
5344,1046,true,false,49,'1ZVBP8CF0D5267616',88,58.43137254902,-54.12,2.4183636659997,5,37.4838014,-122.2029078,-0.5105917693903,9.29267578125,-1.85853515625,-1.85853515625,-0.5105917693903,-0.85654374375271,"1366482215846.4"
5344,1046,true,false,49,'1ZVBP8CF0D5267616',88,58.43137254902,-54.12,2.4183636659997,5,37.4838014,-122.2029078,-0.5105917693903,9.29267578125,-1.85853515625,-1.85853515625,-0.5105917693903,-0.85654374375271,"1366482215964.6"
5344,1072,true,false,49,'1ZVBP8CF0D5267616',88,58.43137254902,-54.12,2.4183636659997,5,37.4838014,-122.2029078,-0.5105917693903,9.29267578125,-1.85853515625,-1.85853515625,-0.5105917693903,-0.85654374375271,"1366482216097.7"
5344,1072,true,false,49,'1ZVBP8CF0D5267616',88,58.43137254902,-54.12,2.4183636659997,5,37.4838014,-122.2029078,-0.55023276787198,11.524833984375,-3.630849609375,-3.630849609375,-0.55023276787198,-0.82971607853712,"1366482216230.8"
